ID,Feed,Sentiment
811,???? ????? ??? ????????? ???? ?????? ??? ???? ???? ???? ???? ??????,Positive
812,??? ???? ??? ???? ??????,Negative
813,"??? ???? ??? ?? ???? ????? ?? ??????? ??????? ?? ?????? ???? ???? ??? ? ? ????? ?????? ??? ???? ?? ???????",Negative
814,??? ?? ??????? ???? ???? ??? ????,Positive
815,???? ??? ????? ?????,Negative
816,??? ???? ??? ?? ?????? ????? ??? ?? ??? ?????? ??? ??????? ?? ?????,Negative
817,??? ??? ??????,Negative
818,???? ??????? ???? ??????? ??? ??????? ?? ???????,Positive
819,????? ????,Negative
820,???? ?? ???? ???? ??? ???? ??? ???? ??? ?????? ????? ??? ??? ??? ?????,Negative
821,???? ???? ??? ???? ??? ?? ?????? ??????,Positive
822,???? ????????? ???? ??? ??? ???????? ??? ???? ?? ??????? ??????? ??? ?????? ?? ??? ?????? ???? ???,Negative
823,???? ???,Negative
824,?????? ???? ?????? ???????,Negative
825,????? ????? ??? ??? ??????? ?? ????? ????? ??? ??? ???????,Positive
826,????? ??? ??? ???? ??? ???? ????? ??????? ???,Positive
827,????? ???? ?? ???? ?? ???? ????? ????? ???? ?? ????? ?? ??? ?? ?????? ?????? ??? ???? ?????? ?? ??? ???,Positive
828,"???? ???? ????? ??? ??? ?????? ??????? ???? ?????? ????? ?????? ?????? ?????? ??? ???? ???? ???? ????? ?????? ?????? ????? ??? ?? ???? ????!",Positive
829,???? ? ????,Negative
830,???? ?????? ? ??? ?????? ? ????? ??? ???.??????? ????. ???? ???? ??? ???? ???? ?????? ????? ?? ???? ?????,Negative
831,????? ???? ????? ?????? ????????? ??????,Positive
832,????? ???? ?? ???? ???? ?????? ?? ??? ?????,Positive
833,????? ???? ????? ??? ???? ??? ???? ??? ???? ???? ??????,Positive
834,????? ???? ???? ???????? ?????,Positive
835,????? ???? ???? ??? ?? ???,Positive
836,????? ???? ?? ?? ???? ????,Positive
837,????? ???? ???? ??????? ?????,Positive
838,????? ???? ????? ??? ???? ???? ???? ???? ?? ??? ????,Positive
839,?????? ???? ?????? ????? ?? ???? ?? ???? ???? ??? ??? ?? ??? ???? ??? ???? ??? ??? ????? ???? ??? ??? ???? ??????,Positive
840,?????? ??? ??? ??? ?? ????????,Positive
841,?????? ???? ?? ???? ?? ??? ??? ???? ???? ???? ????,Positive
842,???? ?????? ???? ????? ?? ????? ??? ????? ?????,Positive
843,???????? ???????? ?????? ??????? ??? ?????? ?? ?????? ????? ????? ??????? ?????? ??? ??????,Positive
844,?????? ????? ???? ?????? ?? ??????,Negative
845,????? ???????? ???? ?? ???? ??? ?????????,Negative
846,????? ??? ?????? ?????? ?? ????,Negative
847,????? ????? ????,Negative
848,???? ??? ??????? ?????? ????? ?? ???? ????,Negative
849,????? ?????,Negative
850,??????? ???? ???? ????????? ???????? ???? ????  ????? ??? ???? ???? ????????? ?? ??????? ???? ????? ????,Positive
851,????? ????? ???? ????? ??????? ????? ?????? ????? ??? ?? ???? ??????? ???????? ?? ?????? . ????? ?????? ????..,Positive
852,????? ?????,Negative
853,???? ???? ??? ?????? ??? ????? ??? ?? ???? ?? ???? ??????? ????? ?????,Positive
854,???? ???? ???? ???? ??????? ??????? ???? ????? ????? ?????? ?????? ????? ???? ????? ???? ???? ????? ???? ????? ?? ?????? ??? ???? ???? ????? ????? ?? ????? ??????? ???? ????????,Positive
855,???? ???? ????,Positive
856,???? ????? ???? ?? ???,Positive
857,???? ???? ????? ?????? ???? ?? ????? ???? ??? ????? ?????? ??? ???? ????? ???? ??? ??? ????? ???? ??? ???? ?? ????? ????? ????? ??? ??? ,Positive
858,????? ????? ?????? ????????? ???? ???? ???,Negative
859,????? ????? ??? ????? ?????? ????? ?? ?????? ??????,Positive
860,????? ???? ???? ?????? ???? ???? ???? ??? ????? ??????? ????? ???????,Negative
861,???? ???? ????? ??? ?????? ??? ??? ?? ??????,Negative
862,???? ???? ??? ????,Negative
863,???? ???? ??? ???? ????? ??????,Negative
864,????? ????? ??????? ?????? ?????? ?? ???? ????? ?????? ????????? ???? ????????,Negative
865,??? ???,Negative
866,???? ???? ????? ????? ???? ????? ??? ??????,Negative
867,???? ???? ?? ????? ???? ??? ???? ????? ?????,Negative
868,?????? ?? ?????? ?? ???? ??? ??????,Positive
869,?????? ???? ????? ?? ???? ??? ??????,Positive
870,????? ????,Negative
871,???? ?????? ?????? ??????,Negative
872,??? ????,Negative
873,??? ?? ????? ??? ????? ?????? ??? ?????? ?? ??? ?? ????? ??????,Negative
874,???? ????? ???? ?????? ?????? ????? ?? ???????,Negative
875,???? ???????? ??? ??? ????? ???? ????! ???? ?? ??? ???? ?? ?? ???? ????? ???????? ????? ???? ????? ?? ???? ????? ?? ???? ???? ???? ???????,Negative
876,??? ????? ??? ??,Negative
877,????? ???? ???? ?????,Negative
878,???? ????? ??????? ??? ???? ????? ?? ??????,Positive
879,"???? ????? ?????? ???????? ????? ??????? ?? ????? ???????? ????? ??????",Positive
880,???? ??,Positive
881,???? ?????? ??????? ???? ????? ??????,Positive
882,???? ???? ??? ????,Negative
883,???? ????? ?????? ?? ???????,Negative
884,???? ???? ????? ?????? ?????,Negative
885,??? ??????? ???? ???????? ?????? ?????? ??? ???? ??? ??? ?????? ?? ???? ??? ????,Negative
886,?? ????? ??? ????? ?? ?????,Negative
887,?? ??? ???? ? ???? ???? ???? ??????,Negative
888,?? ???? ?? ????? ??????? ?? ????? ???? ?????,Negative
889,?? ????? ???? ???? ? ????? ???????,Negative
890,?? ???? ??? ???? ?? ???? ?? ????? ??? ???? ?? ??? ??? ??? ??? ???,Negative
891,?? ??? ?????? ??,Negative
892,?? ??? ???????? ????? ????? ??? ???????,Negative
893,?? ??? ??????? ?????,Negative
894,?? ???????? ????????,Negative
895,?? ??????? ??????,Negative
896,?? ???????? ?????,Negative
897,?? ?? ??????,Negative
898,?? ???? ??? ??? ???,Negative
899,?? ???? ??? ????? ???? ?? ????? ?? ????,Negative
900,??? ???? ?????? ????? ????,Negative
901,?? ???? ??? ????,Negative
902,??? ???? ???? ?????,Negative
903,????? ?????? ?? ????? ?????? ????? ????? ???????? ????,Positive
904,??? ???? ?????? ?????? ???,Positive
905,??? ???? ???? ??? ??? ?? ??????,Negative
906,???? ????????? ?????? ??? ????? ??? ???? ????? ???? ????? ??? ??? ???,Positive
907,???? ??????? ??????? ??????? ???? ????,Positive
908,???? ??????? ??????? ???? ????,Positive
909,???? ??????????,Negative
910,???? ??????,Positive
911,???? ???? ?? ???? ????? ?????,Positive
912,???? ?????? ??????,Positive
913,???? ????? ??????? ?????,Positive
914,???? ????? ?? ????? ??? ?????? ????? ?????? ??????? ???????? ?????? ??? ??? ????,Positive
915,???? ????? ???????? ???,Positive
916,???? ????? ?????,Positive
917,???? ??????? ?????????,Positive
918,???? ????? ?????,Positive
919,???? ????? ????? ? ???? ???? ???? ? ???? ????? ? ?????,Positive
920,???? ????? ????? ????? ???? ???? ????? ????? ?????? ?????? ??? ?????? ????? ?????? ??? ??????? ???? ?????? ???? ?????? ?? ??????,Positive
921,???? ?????? ? ??????? ?? ??? ????,Positive
922,???? ?????? ????? ?????????,Positive
923,???? ??????? ???????,Positive
924,???? ?????,Positive
925,???? ????? ???????? ???? ????? ???? ?????,Positive
926,???? ???? ????? ?? ??? ????? ??? ???? ????? ????? ???? ??? ??????,Positive
927,???? ??????,Positive
928,???? ????? ?????? ????? ???????,Positive
929,???? ????? ?????? ????? ??????,Positive
930,???? ????? ??????,Positive
931,???? ????? ?????? ????? ???????,Positive
932,???? ????? ???? ????,Positive
933,???? ????? ?????,Positive
934,???? ?????? ?? ?? ?????,Positive
935,???? ?? ???? ?? ??? ?????,Positive
936,???? ???? ???? ???????,Positive
937,???? ???? ??????? ???????,Positive
938,???? ????? ?????? ????? ???????? ?? ??,Positive
939,?????? ???????,Positive
940,?????? ?????? ?????? ????? ?????? ????????,Positive
941,?????? ?????? ?????????? ??????? ?? ?????,Positive
942,????? ???? ????,Positive
943,????? ??? ?? ????? ?????,Positive
944,????? ????,Positive
945,????? ??? ???? ????? ??????,Positive
946,????? ????? ???? ?????,Positive
947,????? ???,Positive
948,????? ??? ?????? ?????? ?????? ?? ????? ?? ????? ?????? ???? ???? ?? ?? ??? ???? ?? ????,Positive
949,?????? ??? ???? ??? ????? ??? ???? ?????,Positive
950,?????? ?????,Positive
951,?????? ????? ?????? ?????? ?? ??? ????,Positive
952,?????? ???? ??? ????? ????? ???? ?????? ????????,Positive
953,??????? ???? ???? ?????,Positive
954,"?????? ??? ? ??? ? ??? ?? ?????? ??? ? ??? ? ?????? ?????? ??? ? ????? ??? ?? ?????? ?? ??????",Positive
955,??? ???? ????????? ??????? ?????? ?? ?????? ???? ! ????? ... ???? ???? ????? ???? ??? ? 10000,Negative
956,???? ???? ??????,Positive
957,????? ???? ???? ????? ?????? ???? ????? ????? ??????,Positive
958,?? ????????? ???? ???????,Positive
959,?? ???? ????,Positive
960,?? ????? ??? ?????? ??????,Positive
961,?? ????? ???? ???? ??? ???? ??????? ??? ????? ???????,Positive
962,?? ?????,Positive
963,?? ?? ??? ???? ???? ???? ??????,Positive
964,??? ????? ?? ????? ???????? ??????? ???? ???????,Negative
965,???? ????????? ??? ?????? ?????,Positive
966,???? ??? ????,Negative
967,???? ?? ??????? ?? ???? ???? ???? ?????? ????? ??? ?????? ??????? ????,Positive
968,???? ???? ?? ???,Positive
969,???? ????? ??? ???? ???? ???? ????? ???? ?? ????,Positive
970,???? ?? ????? ???,Positive
971,???? ?? ?? ?????? ????? ?????,Positive
972,????? ????? ????? ??????,Positive
973,????? ??????? ??????? ??? ????? ????????,Positive
974,????? ???? ?? ??? ??????,Negative
975,???? ?????? ??????? ??? ??? ????????? ????????,Negative
976,????? ????? ???? ????? ??????,Negative
977,?????? ???? ????,Negative
978,???? ??? ?? ??? ???? ???????,Positive
979,???? ???,Negative
980,???? ??? ???? ???? ????? ??? ?????? ????? ??? ???? ??? ???,Negative
981,????? ????? ?????? ?????,Negative
982,??? ?????,Positive
983,"???? ?????? ??? ? ???? ???? ??? ???? ??? ???? ????? ???? ?????? ????? ????",Positive
984,???? ??? ???? ??? ,Positive
985,?? ???????? ?? ???? ?????? ????? ?? ???? ?? ?????? ????,Positive
986,???? ????? ?? ???? ??????? ???? ???? ??? ??????? ??? ?? ???? ????? ?? ??? ???? ????,Negative
987,????? ??? ????? ??? ???? ?? ??? ???????? ????? ???? ???? ???? ??? ?????,Positive
988,???? ???? ????,Positive
989,???? ???? ???? ?? ????? ???? ??? ??? ?????? ?? ??? ????,Positive
990,???? ????,Positive
991,???? ???? ????? ???? ??????? ????? ?? ?????. ?? ??? ????? ????? ????.  ????? ???? ???????? ,Positive
992,???? ???? ??? ????? ?? ???? ??????,Positive
993,????? ????? ??? ???? ????,Negative
994,???? ??????? ???? ?????? ?????? ?? ?? ????? ?? ????? ??? ????? ???? ???? ?? ????,Positive
995,??? ??? ???? ?? ?????? ?????? ??????,Negative
996,??? ???? ???? ?? ???? ,Negative
997,??? ???? ?????? ??????? ?? ?????? ?? ??????? ??? ???? ????? ??? ??? ????? ?????? ???,Positive
998,??? ??? ????? ???? ?????,Positive
999,??? ??? ??????? ?? ????? ??????,Negative
1000,??? ????? ????,Positive
1001,???? ???? ??????? ??? ????? ?? ??? ????? ??? ?? ????? ??? ????? ??? ????? ???? ????? ??? ??????,Negative
1002,???? ????? ????? ?????? ?? ?????? ?????,Negative
1003,????? ????? ?????,Negative
1004,????? ????? ???????,Negative
1005,????? ???? ???? ????? ??? ???? ????? ???? ???,Negative
1006,?????? ?? ????????? ?? ???,Negative
1007,?????? ?? ????,Negative
1008,?????? ?????,Negative
1009,?????? ??????,Positive
1010,??? ?? ????,Positive
1011,?? ????? ???? ??? ???? ?? ??? ????? ????? ?? ????? ?????? ???????? ???? ??????? ????? ????? ??? ??????,Positive
1012,????? ?????? ??? ??? ??? ?????? ???? ????? ??????? ???? ????? ??? ????,Negative
1013,???? ?? ?????,Negative
1014,??? ??????,Negative
1015,????? ??????,Negative
1016,???? ??? ??? ????? ??? ???? ???? ???? ?? ????? ???? ??? ?????? ??????? ???? ??? ?????,Positive
1017,???? 15 ??? ????? ????? ???? ? 20 ????? ??? ???? ??? ????? ??? ??? ???,Negative
1018,???? ?? ??????? ,Positive
1019,????? ????? ??? ????? ???? ????? ?? ????? ???? ??? ???? ??? ??? ????? ????? ???????? ?? ??? ???? ????? ????? ?? ??????? ???????,Negative
1020,??? ????? ???? ??? ??? ?????? ????? ???? ??????,Positive
1021,??? ???? ???????? ???? ???? ????,Negative
1022,???? ?????? ???? ?? ?? ??? ?????? ??????,Negative
1023,???? ????? ???? ?? ??? ?????,Positive
1024,????? ??????? ??????? ??? ?????? ?????? ??? ??? ?????? ???? ?????? ??????? ????? ????,Positive
1025,???? ???? ?? ?????? ??????? ???? ????,Negative
1026,?????? ???? ????? ??? ??????,Positive
1027,??? ??????? ?? ????? ?????? ??? ????? ?????? ??? ???????,Positive
1028,?? ?? ???? ?? ??? ???? ????? ????? ???? ?? ???,Positive
1029,???? ????? ???? ????,Positive
1030,???? ??? ????,Negative
1031,???? ????,Negative
1032,???? ???? ?? ??? ??? ???? ????? ??? ????,Negative
1033,???? ??? ??????? ???? ?????,Negative
1034,???? ?? ??? ??? ???? ????,Positive
1035,????? ???? ???? ??? ??? ????? ???????? ???????? ???? ???? ??????? ?? ??????? ????? ?????? ????? ????? ????? ????? ???????? ??????,Negative
1036,"????? ???? ?? ???:  ????? ???? ?????? ???? ?????? ???? ??? ??? ?????? ?? ???? ?????? ?????? ??? ???? : ""???? ????????""",Positive
1037,??? ?? ????? ??? ???,Negative
1038,???? ?????? ??? ???? ????? ????? ??????? ??? ???? ????? ?? ??? ?? ????? ???? ???? ??? ???? ????? ??? ??? ???? ??????,Negative
1039,??? ???? ???????,Negative
1040,??? ?????? ??????? ???? ?? ?? ??????? ??? ??? ???? ????,Negative
1041,??? ????? ??? ??????,Negative
1042,??? ???? ?? ??????? ??? ??? ???,Negative
1043,??? ?? ?? ??? ?? ??? ??? ??? ????,Positive
1044,??? ????? ???,Positive
1045,???? ?? ???? ??? ??? ?????? ???? ??  ???? ????? ???????? ???? ???????? ?????,Negative
1046,??? ???? ???? ????,Negative
1047,??? ???? ??? ???????? ??? ?????? ????? ????,Negative
1048,??? ?? ???,Negative
1049,????? ??? ??? ?? ??????? ???? ???? ??? ??? ??? ????. .? ????? ????? ????? ??? ???? ?? ????? ?? ???????. ....???? ??? ?????? ???,Negative
1050,??? ?? ????,Negative
1051,????? ????? ???? ???,Positive
1052,???? ????? ?????? ????,Negative
1053,????? ?? ???? ?????,Negative
1054,?????? ??? ?? ?? ?????,Negative
1055,???? ????? ????,Negative
1056,????? ???? ????? ???? ????,Positive
1057,???? ??? ????? ???????,Negative
1058,?????? ???? ????? ?????? ???? ?? ??????,Positive
1059,???? ????? ??????? ???????? ???????? ?? ???? ???????? ????????? ????????? ?? ??????,Negative
1060,????? ??? ???? ??? ??????,Positive
1061,???? ????? ??????? ?????,Negative
1062,???? ???? ???? ????? ????,Positive
1063,???? ??? ?? ????,Positive
1064,???? ??? ?????? ????? ??????? ??,Negative
1065,???? ????,Negative
1066,????? ??? ??? ???? ????,Negative
1067,??????? ?? ??? ???? ??? 48 ??? ????? ??? ????? ?????,Negative
1068,???? ??? ??? ??????,Negative
1069,???? ??? ?? ???? ????,Positive
1070,???? ???? ??? ??? ????? ??? ?? ??????? ?????? ?? ???????? ???? ????,Positive
1071,???? ?????? ??????? ?? ?????? ???? ??????? ??? ??? ????? ???????? ???? ????? ?? ?????? ???? ?????? ??????? ????? ??? ?????? ??? ???? ?????? ????? ?????? ?? ????? ???? ?? ?????? ???????,Negative
1072,???? ???? ?????? ?? ?????,Positive
1073,???? ???? ????? ?? ????? ????? ????? ?????? ??? ?????,Positive
1074,???? ???? ????????? ?????,Negative
1075,???? ?? ?????? ?? ?? ??????,Positive
1076,???? ?????? ???? ????? ??????? ???? ???,Negative
1077,???? ?? ???? ???? ?? ???? ??????? ???? ???? ?? ??? ???? ?? ?????? ??? ???? ???? ???? ???? ??????? ???? ??? ?????,Positive
1078,???? ?? ?? ??? ??? ?? ????? ???? ????? ???? ???? ???? ???? ??? ????? ???? ??? ?????,Negative
1079,???? ????? ?? ??????? ?? ?????? ??????? ??????? ?????? ?????? ??? ?????? ????????,Negative
1080,???? ?? ??????? ???? ??????,Positive
1081,???? ?????,Negative
1082,???? ????? ?? ?????? ??????? ????,Positive
1083,??? ???? ???????,Negative
1084,???? ????? ???? ???? ????? ?????,Negative
1085,??? ???? ??? ?????,Positive
1086,??? ???? ????? ?? ??? ???? ?????? ?????? ????????,Negative
1087,??? ?? ???? ??? ??? ??? ????? ???? ?? ?????? ??????? ???? ?? ?????? ??? ???????? ???? ???? ??? ????,Positive
1088,?? ??? ???? ???? ????? ????? ??????? ?????? ?? ???? ??????,Positive
1089,?? ??? ?? ???? ???????,Negative
1090,?? ???? ???? ??? ??? ?????? ?????? ??????? ? ??? ?????? ????????,Negative
1091,?? ?? ????? ?????? ??????????? ???? ?? ????? ??? ?? ??????? ??????????? ???? ??? ?????? .. ???? ?? ????? ???,Positive
1092,????? ????,Negative
1093,??????? ?????,Negative
1094,??? ??? ???,Negative
1095,??? ???? ??? ???? ????? ??? ???? ????? ???????,Negative
1096,??? ????? ?? ???? ????,Negative
1097,??? ????,Negative
1098,??? ???? ?????????? ?? ??????,Negative
1099,??? ?????,Negative
1100,???? ????? ?? ?????,Negative
1101,????? ?? ??? ??? ???? ????? ?????,Positive
1102,???? ??? ?? ???? ???? ????? ?????? ?? ??????,Negative
1103,??? ????? ???? ????? ???? ??????? ??? ??? ??? ?????? ???? ??????,Positive
1104,??? ????? ??? ???? ???? ??????? ?????? ???????? ??????? ??? ????????,Positive
1105,??? ????? ???? ???,Positive
1106,??? ????? ?????? ??? ??? ???? ????????,Positive
1107,??? ?????? ????? ???? ???? ??? ??? ????? ???? ?????? ???????,Positive
1108,??? ????? ????? ???? ?? ????? ??????? ?????,Positive
1109,??? ????? ????? ?? ?????? ???,Positive
1110,??? ?? ????? ??????,Positive
1111,??? ?? ???? ??????,Positive
1112,?? ?? ?? ????? ???? ?? ?? ???,Positive
1113,??? ???,Negative
1114,?????? ??? ???? ???? ?? ?????? ????? ??????,Negative
1115,??? ???????,Positive
1116,??? ?????? ?????? ???? ??????,Negative
1117,??? ?????? ?????????,Negative
1118,?????? ????,Negative
1119,??? ?? ???? ?? ??? ?? ???? ????? ?? ??? ???? ???? ???? ????? ?????? ?????? ???? ???? ???? ?????? ??????? ??????,Positive
1120,??? ?? ?? ??? ????,Positive
1121,??? ???? ???? ???? ??? ???? ??? ??????? ????? ????,Positive
1122,???? ???? ?? ????? ???? ??? ??? ?????? ??? ?????? ?????? ???? ?? ????? ??? ?? ?????? ????,Positive
1123,????? ?????,Negative
1124,???? ????? ???? ???? ????,Negative
1125,?????? ???? ?? ???????? ????????,Negative
1126,"??? ???? ??????? ????? ?? ?? ????? ???? ?? ???",Negative
1127,"??? ???? ???? ??? ???? ? ????? ?? ???? ?? ??? ?? ?????.",Negative
1128,???? ?????? ???? ????????? ????? ??????? ?? ?????? ??????? ????? ?????? ????? ?????? ??? ???? ????????,Positive
1129,"???? ????? ?? ????????? ?????? ??????? ?? ??? ??? ?? ????? ??? ????? ???? ????? ????? ???? ?????? ?? ?? ?????? ?????? ??? ????",Negative
1130,???? ???? ???? ???? ?????? ????? ?????? ????,Negative
1131,????? ????? ????? ??? ??????,Negative
1132,"???? ???? ??????? ??? ???? ?????? ? ??????",Negative
1133,????? ???? ?????? ?????? ???? ??,Negative
1134,???? ???? ?????,Negative
1135,??? ?????? ?? ???? ????????? ??? ????? ??? ?????? ?? ???? ??????? ???? ????,Negative
1136,??? ???? ?? ?????? ???? ???? ???,Positive
1137,??? ??? ????? ???? ????,Negative
1138,?????? ????,Positive
1139,?????? ???? ?? ??????,Positive
1140,"???? ???? ????? ????? ?????  ????  ????? ??????  ???????",Negative
1141,?? ?????,Negative
1142,?? ???? ?????? ??????? ??????? ?????? ?????,Negative
1143,??? ??????? ??????? ?????? ??? ??????,Negative
1144,??? ????? ??????,Negative
1145,?? ????????,Positive
1146,"?? ???????? ????? ??? ?????? ????? ???? ???????,??? ???? ?? ????? ??? ?????? ?????.",Positive
1147,?? ????? ??????? ???????? ??? ????? ?? ????? ????? ????? ?????,Negative
1148,?? ??? ????? ?????,Positive
1149,?? ??? ???? ?????? ?????? ?? ????? ?? ?? ????? ?????? ??????,Positive
1150,?? ?? ?? ?? ???? ???? ??? ???? ???? ????? ?? ?? ????,Positive
1151,?? ?? ???? ???? ???????? ??? ?????? ?? ?????? ??? ?? ???? ???? ?? ?? ???????? ??? ?? ???? ????? ?? ?????? ?? ??????,Positive
1152,?? ???? ????? ?? ???? ????? ??????? ??????? ??? ????? 14???? 6??????,Negative
1153,?? ??? ???????? ???????? ???????? ???????? ???? ????? ???? ??? ???? ????? ???? ??? ?? ?? ??? ????? ????? ?? ?? ??????? ?? ????? ???????,Negative
1154,?? ??? ?????? ??????? ?????? ????? ?????? ?????? ???????? ?????????? ??? ??????? ?? ?????? ??????? ???? ??????? ?????? ?? ?? ???????,Negative
1155,???? ???? ????? ?????? ????? ?????? ?? ???? ???? ???? ?????????,Positive
1156,???? ????,Positive
1157,???? ???? ??????? ???? ???? ???????,Positive
1158,???? ?? ?? ????,Positive
1159,???? ?????,Positive
1160,???? ??? ?????,Positive
1161,???? ???,Positive
1162,???? ???? ??? ???? ????? ???? ??? ?? ??,Positive
1163,???? ????,Positive
1164,???? ???? ??? ?????? ????,Positive
1165,???? ???? ???????? ????,Positive
1166,???? ???? ?? ??? ??? ????? ???? ?? ???? ????? ?????????? ???????? ???? ???? ??????? ???????,Positive
1167,???? ???,Positive
1168,???? ?? ?? ???,Positive
1169,????? ???? ?????,Positive
1170,????? ?????? ???????? ????? ?????? ?????????,Positive
1171,??? ????,Negative
1172,??? ?????,Negative
1173,????? ????? ???? ?? ???? ?? ????? ?? ??????? ??????,Positive
1174,?????? ????,Positive
1175,????? ?? ??????????? ?????  ???????? ???????????,Negative
1176,???? ?? ??????? ??? ????? ???? ?????? ??? ??? ??????? ???????? ?? ????,Positive
1177,??? ??? ??? ??????? ?? ???? ??????? ??? ????? ???????? ??????? ????????? ?? ??????? ???? ??????? ????? ??????,Negative
1178,???? ??????,Negative
1179,???? ??????? ?????,Negative
1180,??? ??? ????,Negative
1181,?? ?? ????? ??? ????? .. ?????? ????? ??????? ?????? ????? !! ,Negative
1182,?? ??? ?????? ???? ???? ?? ????,Positive
1183,?? ??? ??? ?????,Positive
1184,?? ??????? ????? ?? ????? ?? ??????? ?? ???? ??? ???? ??? ??????? ?????? ????? ???? ???????,Positive
1185,?? ??? ??? ?? ????? ?? ??? ???,Positive
1186,?? ?? ???? ?? ?????,Positive
1187,??? ???? ????? ?????? ??????? ???? ????? ???? ?????? ??????? ???? ?????? ???? ?? ??? ????? ???? ???? ?????? ???? ?????,Negative
1188,??? ???? ?????,Negative
1189,??? ????? ?????? ??? ???? ??? ???? ??? ?????? ?????? ??? ??? ?? ????,Positive
1190,??? ???? ??????? ???? ???????,Negative
1191,??? ?????? ???? ??? ?????? ??? ???? ?????? ?????? ??????,Negative
1192,??? ??? ???? ?? ???? ?? ??? ???? ???? ????,Negative
1193,??? ?? ???? ? ?? ?? ???? ?????? ???? ?? ???? ,Positive
1194,??? ????? ??? ??? ?????,Negative
1195,?? ???? ???? ???? ????? ??? ?????????? ???????????,Positive
1196,?? ?????? ????? ?????? ??????? ???? ?????,Positive
1197,?? ??? ??? ???? ???? ???? ????,Positive
1198,?? ???? ???? ??? ???? ??? ???????? ?? ?? ????? ???? ????,Negative
1199,?? ?????? ????? ?????  ????? ???? ?? ??????? ?? ?????? ??? ??????? ?????? ?????,Negative
1200,"?? ????? ??? ?????? ??? , ?? ?? ??? ???? ??????? ????? ????? ????????",Negative
1201,?? ???? ?????? ?? ???? ??? ???? ????,Positive
1202,?? ???? ?? ???? ???,Positive
1203,?? ???? ??? ??? ????? ?? ???? ??? ???? ?????,Positive
1204,"?? ???? ????? ?????? ??? ???? ??????? ????? ??? ???? ??? ?? ?????? ?? ?? ????? ????????? ?????? ?????? ?? ???? ????? ? ????? ???",Positive
1205,?? ?????,Negative
1206,?? ????? ??? ??????,Negative
1207,?? ?????? ?? ???? ???? ??? ???? ?? ??? ???? ????? ???? ?? ???? ???? ?????,Positive
1208,"?? ?????? ?? ??? ????? ???? ????? ?? ????? ???? ??? ?? ???? ????? ??? ?? ???? ?????? ??? ?? ???? ??? ?????? ????? ??? ?? ??? ????",Positive
1209,?? ??? ??? ??? ??? ????? ??? ??? ?? ???? ???? ?? ????,Negative
1210,?? ??? ??? ??? ??? ????? ??????  ?? ??? ???? ?? ???? ???? ????? ?????? ??? ??? ??? ????,Negative
1211,?? ??? ??? ??? ??? ????? ??? ????? ???,Negative
1212,?? ???? ?????? ??????,Positive
1213,?? ?? ??? ????? ???? ??????,Negative
1214,?? ???? ?????? ??? ???? ?? ??? ???? ??????? ???????,Positive
1215,?? ???? ???? ???? ????,Negative
1216,?? ????? ?? ???? ???????,Positive
1217,?? ??????? ???? ??????,Negative
1218,?? ????? ??? ??? ???? ?? ??? ????? ?????? ???? ??????? ????????,Negative
1219,?? ?? ??????,Negative
1220,?? ?? ?????? ??? ??,Negative
1221,?? ?? ??? ? ????,Negative
1222,?? ???? ??? ???? ????? ??????? ???? ?????,Negative
1223,?? ????? ??????? ????,Negative
1224,?? ????? ?????? ?? ??????? ??? ????? ??? ???? ??????? ????? ??????,Negative
1225,?? ????? ?? ???? ??,Negative
1226,?? ????? ???? ???? ????? ??? ???? ????? ???? ????? ?????,Negative
1227,?? ???? ?? ?????? ?? ????? ?? ?????? ??? ?????? ?????,Positive
1228,?? ??? ?? ??????,Positive
1229,?? ???????? ??? ????? ???????? ????? ???? ???? ???? ?? ????? ?????? ?? ???????? ???????? ??? ?? ????? ??? ???? ???? ???? ?????,Negative
1230,?? ???? ??? ????? ???? ???? ????? ??????,Positive
1231,?? ???? ????? ???? ??? ???? ????? ??????? ???????? ???? ???,Negative
1232,?? ???? ???? ?? ???? ??? ?????? ?? ???????,Positive
1233,?? ???? ?????? ??????? ????? ??? ????? ???? ?????,Negative
1234,"??????? ????? ???? ???? ? ? ?? ??????? ???? ???? ? ? ?? ????? ???? ????? ?? ????? ? ??? ???? ???????",Negative
1235,?????? ??? ?????? ????? ??????? ??? ??????? ??? ??? ????? ????? ? ?????? ?????? ??? ?? ???? ??? ?????? ??? ??? ?? ??? ?? ??? ???? ? ?? ??? ?? ?????? ???,Positive
1236,???????? ?? ????? ?????? ?????,Positive
1237,???? ??? ?? ???? ???? ????? ?????? ?? ???? ????? ???? ???????? ?? ??????,Negative
1238,???? ?? ???? ???? ???? ???? ?????? ???? ??? ????????,Positive
1239,???? ???? ????? ??????,Negative
1240,???? ?? ?????? ?????? ?? ?????? ??????? ???? ??? ???? ???,Negative
1241,??? ????? ????? ?????? ???????? ?? ????? ???,Negative
1242,??? ?? ????? ??? ?? ????? ????? ?? ??????? ??? ????? ???? ???? ????? ???? ???? ?? ?? ???? ????? ????????? ?? ???? ???? ??????,Negative
1243,???? ?????? ???? ????? ???? ????? ?? ??????,Negative
1244,????? ???? ????? ???????,Negative
1245,????? ????????,Negative
1246,???? ??? ????? ?? ????? ??? ?????? ??????,Positive
1247,???? ?????,Negative
1248,???? ??? ??????? ??? ??????,Negative
1249,???? ????? ?? ??? ????? ????? ???? ??? ???????? ???? ?? ????? ????????,Negative
1250,???? ????? ?????? ??? ?????????,Negative
